state,count_state,avg_accuracy_state,sd_accuracy_state
ME,3,0.7999999999999999,0.17320508075688776
NH,3,0.4666666666666667,0.5033222956847166
MA,16,0.8125,0.22766935088705584
RI,5,0.84,0.30495901363953815
CT,5,0.98,0.04472135954999579
NY,51,0.7803921568627451,0.2498156182812734
NJ,24,0.8125,0.25075971523075374
PA,30,0.8066666666666666,0.2362542951017462
OH,22,0.7727272727272727,0.32098333762097847
IN,7,0.7714285714285715,0.31997023671109226
IL,20,0.795,0.2684752267312965
MI,20,0.855,0.26452539426400323
WI,8,0.9125,0.17268882005337974
MN,17,0.8941176470588236,0.21056646289026568
IA,13,0.7230769230769231,0.3609105294341109
MO,10,0.73,0.3433495141818157
ND,4,0.9,0.11547005383792512
SD,3,0.7,0.3
NE,4,0.825,0.15000000000000002
KS,12,0.85,0.21532216876958205
DE,2,0.7,0.4242640687119285
MD,19,0.9,0.19436506316151
DC,4,1,0
VA,21,0.7857142857142857,0.2903200204700225
WV,5,0.5599999999999999,0.31304951684997057
NC,22,0.8636363636363636,0.1965062813619926
SC,11,0.5545454545454546,0.33574882386580707
GA,19,0.8105263157894737,0.21831357885722616
FL,27,0.762962962962963,0.27053813629668405
KY,8,0.75,0.2672612419124244
TN,12,0.7,0.33574882386580707
AL,5,0.54,0.260768096208106
MS,3,0.9666666666666667,0.05773502691896256
AR,5,0.48,0.32710854467592254
LA,9,0.8222222222222222,0.2223610677354389
OK,8,0.8375,0.22638462845343543
TX,44,0.7477272727272727,0.2435098358775949
MT,5,0.72,0.27748873851023215
ID,7,0.7428571428571429,0.32071349029490925
WY,1,1,NA
CO,12,0.7333333333333333,0.2570225788926064
NM,3,0.9333333333333333,0.11547005383792512
AZ,28,0.6714285714285714,0.27869689211033133
UT,4,0.875,0.18929694486000911
NV,8,0.7875,0.24748737341529167
WA,23,0.8869565217391304,0.21596369186864164
OR,6,1,0
CA,79,0.8139240506329114,0.2484486105947444
HI,3,0.8666666666666667,0.1527525231651947
